"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1978-02","Feb-1978","PC","Percentage","0","Units",,,6.6456084,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1978-03","Mar-1978","PC","Percentage","0","Units",,,6.3037175,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1978-04","Apr-1978","PC","Percentage","0","Units",,,6.2683942,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1978-05","May-1978","PC","Percentage","0","Units",,,6.2104421,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1978-06","Jun-1978","PC","Percentage","0","Units",,,6.3043544,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1978-07","Jul-1978","PC","Percentage","0","Units",,,6.2235499,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1978-08","Aug-1978","PC","Percentage","0","Units",,,6.4910735,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1978-09","Sep-1978","PC","Percentage","0","Units",,,6.2516507,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1978-10","Oct-1978","PC","Percentage","0","Units",,,6.1643855,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1978-11","Nov-1978","PC","Percentage","0","Units",,,6.3329472,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1978-12","Dec-1978","PC","Percentage","0","Units",,,6.4067147,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1979-01","Jan-1979","PC","Percentage","0","Units",,,6.3714736,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1979-02","Feb-1979","PC","Percentage","0","Units",,,6.2578709,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1979-03","Mar-1979","PC","Percentage","0","Units",,,6.303936,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1979-04","Apr-1979","PC","Percentage","0","Units",,,6.4993233,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1979-05","May-1979","PC","Percentage","0","Units",,,6.2046417,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1979-06","Jun-1979","PC","Percentage","0","Units",,,6.25218,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1979-07","Jul-1979","PC","Percentage","0","Units",,,6.2743947,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1979-08","Aug-1979","PC","Percentage","0","Units",,,6.1189883,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1979-09","Sep-1979","PC","Percentage","0","Units",,,6.2351411,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1979-10","Oct-1979","PC","Percentage","0","Units",,,6.3850798,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1979-11","Nov-1979","PC","Percentage","0","Units",,,6.0464545,,
